id,instructions
029db3d1-4f21-4e98-ab32-aef892d9fb73,"1. Boil pasta. 2. Cook pancetta. 3. Mix eggs and cheese. 4. Combine all with pepper."
f75e4594-f135-4331-a956-32297cb20ac4,"1. Marinate chicken. 2. Cook with spices and tomato sauce. 3. Add cream. 4. Serve with rice."
ab6ce13f-4a2b-4d82-993e-4b4f5d808463,"1. Sauté beef. 2. Add onions and mushrooms. 3. Stir in sour cream. 4. Serve over noodles."
e5201de7-cf30-4769-98bf-3cd69c763a2a,"1. Stir-fry vegetables. 2. Add soy sauce. 3. Cook until tender. 4. Serve hot."
e8a24dce-6266-4148-b19c-8eb7cee14ba0,"1. Prepare dough. 2. Add sauce, cheese, and basil. 3. Bake until golden. 4. Slice and serve."
0c5003e6-6e87-47fe-8b85-48646d935ec6,"1. Chop lettuce. 2. Toss with dressing and croutons. 3. Top with cheese. 4. Serve chilled."
ed6a19d8-84a4-49ef-a29a-b39631316ea9,"1. Sauté vegetables. 2. Add lentils and broth. 3. Simmer until tender. 4. Season and serve."
8f5f300a-7e6c-4488-ac6b-7303057a7053,"1. Soak noodles. 2. Stir-fry shrimp and tofu. 3. Add noodles and sauce. 4. Top with peanuts."
189a1ebf-6292-41a9-ad6f-de36559d4c77,"1. Grill fish. 2. Warm tortillas. 3. Assemble with toppings. 4. Serve with lime."
42118423-efe8-4b3a-89ce-e3e217b93487,"1. Slice eggplant. 2. Layer with sauce and cheese. 3. Bake until bubbly. 4. Serve hot."
ca854bb8-9c2c-4396-971f-eebed6097405,"1. Cook pasta. 2. Prepare Alfredo sauce. 3. Add grilled chicken. 4. Combine and serve."
9c35b238-7766-472d-85b9-dcd1127e5f08,"1. Cook beef. 2. Fill taco shells. 3. Add toppings. 4. Serve immediately."
d350fff2-4c9a-4193-ae3e-4f0c3988f20a,"1. Sauté vegetables. 2. Add beans and spices. 3. Simmer. 4. Serve with toppings."
4a0fa4de-cf61-439f-9761-9386eaba7287,"1. Sauté shrimp in garlic butter. 2. Cook pasta. 3. Combine and serve."
bad788bb-7b34-4538-a79b-46d729001479,"1. Chop vegetables. 2. Toss with feta and olives. 3. Drizzle with dressing. 4. Serve chilled."
059ad19d-9273-4d16-a48c-4c3fd2efbf56,"1. Prepare filling. 2. Stuff peppers. 3. Bake until tender. 4. Serve hot."
bc67e3b5-0051-48ca-98ed-ee3663bcad35,"1. Boil chicken. 2. Add noodles and vegetables. 3. Simmer. 4. Serve hot."
1845b25a-2a73-42bf-97db-38685e41e0d8,"1. Sauté vegetables. 2. Add curry paste and coconut milk. 3. Simmer. 4. Serve with rice."
d1dbdb82-be55-4722-97eb-8117046ab7ef,"1. Season ribs. 2. Slow-cook with BBQ sauce. 3. Grill for char. 4. Serve."
0bb44e60-c7c9-415c-bc5d-152e3fd73ba2,"1. Mix batter. 2. Cook on griddle. 3. Flip when bubbles form. 4. Serve with syrup."
7af75d1d-1ca3-4d9f-b311-cb4f781884b5,"1. Mix batter. 2. Bake in pans. 3. Frost when cool. 4. Slice and serve."
e888452f-9273-48b3-97d1-112e09f63adb,"1. Prepare crust. 2. Fill with apples. 3. Bake until golden. 4. Cool and serve."
50cf15b3-c4ad-4338-9098-ff68a496c506,"1. Mash bananas. 2. Mix with batter. 3. Bake in loaf pan. 4. Cool and slice."
9592cd02-8679-43c8-967c-92ba71414c56,"1. Butter bread. 2. Add cheese. 3. Grill until golden. 4. Serve hot."
0d3f6833-ee7b-4c05-9771-17506df966c7,"1. Form beef patty. 2. Grill. 3. Assemble with bun and toppings. 4. Serve."
1f43ffcf-381f-451f-ba3d-ca28a39e7bee,"1. Prepare rice. 2. Add fillings. 3. Roll tightly. 4. Slice and serve."
e7d3ef9d-1c98-4d69-950f-17d81709f230,"1. Cook rice. 2. Stir-fry with vegetables and protein. 3. Season. 4. Serve."
c3cf21c5-47b4-45c9-b6a5-2e95de62f4df,"1. Layer pasta, meat, cheese, and sauce. 2. Bake until bubbly. 3. Rest and slice."
1433a29a-589f-4940-9ccd-cbdfb673c304,"1. Season wings. 2. Bake or fry. 3. Toss in sauce. 4. Serve."
0b9282c0-8fa6-47d0-96f1-10bf6b91a7b2,"1. Prepare crust. 2. Add filling. 3. Bake until set. 4. Cool and serve."
10000000-0000-0000-0000-000000000001,"1. Sauté mushrooms. 2. Add rice and broth. 3. Stir until creamy. 4. Add cheese."
10000000-0000-0000-0000-000000000002,"1. Brown lamb. 2. Add spices, apricots, and almonds. 3. Simmer. 4. Serve with couscous."
10000000-0000-0000-0000-000000000003,"1. Stir-fry tofu and vegetables. 2. Add sauce. 3. Cook until heated. 4. Serve with rice."
10000000-0000-0000-0000-000000000004,"1. Roast pumpkin. 2. Blend with broth. 3. Simmer with spices. 4. Serve warm."
10000000-0000-0000-0000-000000000005,"1. Cook fish. 2. Layer with peas and potatoes. 3. Bake. 4. Serve hot."
10000000-0000-0000-0000-000000000006,"1. Cook rice. 2. Stir-fry with eggs and vegetables. 3. Season. 4. Serve."
10000000-0000-0000-0000-000000000007,"1. Shape falafel. 2. Fry until golden. 3. Wrap in pita with sauce. 4. Serve."
10000000-0000-0000-0000-000000000008,"1. Cook pasta. 2. Toss with pesto. 3. Add pine nuts. 4. Serve."
10000000-0000-0000-0000-000000000009,"1. Sauté chicken, peppers, and onions. 2. Fill tortillas. 3. Serve with toppings."
10000000-0000-0000-0000-000000000010,"1. Prepare filling. 2. Fill pastry. 3. Fry until golden. 4. Serve."
10000000-0000-0000-0000-000000000011,"1. Cook quinoa. 2. Mix with vegetables and cheese. 3. Toss with dressing. 4. Serve."
10000000-0000-0000-0000-000000000012,"1. Prepare dough. 2. Add toppings. 3. Bake. 4. Slice and serve."
10000000-0000-0000-0000-000000000013,"1. Sauté seafood. 2. Add rice and broth. 3. Simmer with saffron. 4. Serve."
10000000-0000-0000-0000-000000000014,"1. Sauté eggplant. 2. Add spices and sauce. 3. Simmer. 4. Serve with rice."
10000000-0000-0000-0000-000000000015,"1. Brown turkey. 2. Add beans and peppers. 3. Simmer. 4. Serve."
10000000-0000-0000-0000-000000000016,"1. Hollow zucchini. 2. Fill with rice mixture. 3. Bake. 4. Serve."
10000000-0000-0000-0000-000000000017,"1. Marinate salmon. 2. Grill with glaze. 3. Serve with rice."
10000000-0000-0000-0000-000000000018,"1. Layer noodles, vegetables, and cheese. 2. Bake. 3. Rest and slice."
10000000-0000-0000-0000-000000000019,"1. Bread chicken. 2. Fry. 3. Top with sauce and cheese. 4. Bake."
10000000-0000-0000-0000-000000000020,"1. Prepare filling. 2. Roll in tortillas. 3. Top with sauce. 4. Bake."
20000000-0000-0000-0000-000000000001,"1. Mix starter, flour, and water. 2. Let rise. 3. Shape and bake. 4. Cool before slicing."
20000000-0000-0000-0000-000000000002,"1. Mix dough. 2. Shape into baguette. 3. Bake until golden. 4. Cool and slice."
20000000-0000-0000-0000-000000000003,"1. Mix dough. 2. Add caraway seeds. 3. Bake. 4. Cool and slice."
20000000-0000-0000-0000-000000000004,"1. Mix dough. 2. Press into pan. 3. Top with oil and herbs. 4. Bake."
20000000-0000-0000-0000-000000000005,"1. Mix dough. 2. Shape into loaves. 3. Bake. 4. Cool before slicing."
20000000-0000-0000-0000-000000000006,"1. Mix dough. 2. Add butter and eggs. 3. Bake. 4. Cool and slice."
20000000-0000-0000-0000-000000000007,"1. Mix dough. 2. Braid. 3. Bake until golden. 4. Cool and slice."
20000000-0000-0000-0000-000000000008,"1. Mix dough. 2. Roll out. 3. Bake in tandoor. 4. Serve warm."
20000000-0000-0000-0000-000000000009,"1. Mix dough. 2. Shape into rounds. 3. Bake. 4. Serve."
20000000-0000-0000-0000-000000000010,"1. Mix batter. 2. Pour into pan. 3. Bake. 4. Cool and slice."
30000000-0000-0000-0000-000000000101,"1. Season salmon. 2. Grill with lemon and dill. 3. Serve."
30000000-0000-0000-0000-000000000102,"1. Batter fish. 2. Fry until golden. 3. Serve with fries."
30000000-0000-0000-0000-000000000103,"1. Cook noodles. 2. Mix with tuna and peas. 3. Bake. 4. Serve."
30000000-0000-0000-0000-000000000104,"1. Marinate cod. 2. Bake with miso glaze. 3. Serve with rice."
30000000-0000-0000-0000-000000000105,"1. Sauté seafood. 2. Add broth. 3. Simmer. 4. Serve hot."
